,epoch,loss,val_loss
0,1.0,37295.88450635201,42324.56402102104
1,2.0,37295.87167689954,42324.56694248306
2,3.0,37295.858301960325,42324.56982985879
3,4.0,37295.844999437824,42324.573025335056
4,5.0,37295.83213255792,42324.57621425541
5,6.0,37295.81871273844,42324.57909645471
6,7.0,37295.80572591415,42324.58201094143
7,8.0,37295.79233703253,42324.584955486374
8,9.0,37295.77944483841,42324.58813822684
9,10.0,37295.765900063234,42324.590852414796
10,11.0,37295.7526518905,42324.59409187124
11,12.0,37295.73956889643,42324.597056362545
12,13.0,37295.72647208437,42324.59995621349
13,14.0,37295.713146471404,42324.60296667393
14,15.0,37295.69958062886,42324.6063463173
15,16.0,37295.68671418939,42324.609174665464
16,17.0,37295.67315550348,42324.61221731641
17,18.0,37295.65962025816,42324.615374959925
18,19.0,37295.64654932103,42324.61843506522
19,20.0,37295.6333612157,42324.62154076443
20,21.0,37295.61974160987,42324.624719972395
21,22.0,37295.60641804138,42324.62780783966
22,23.0,37295.59309994966,42324.630756362916
23,24.0,37295.57961672827,42324.63390906005
24,25.0,37295.56626888756,42324.6367817649
25,26.0,37295.55267482537,42324.6400031567
26,27.0,37295.53949081512,42324.64307541472
27,28.0,37295.52589955192,42324.64608700075
28,29.0,37295.51258187026,42324.64919853189
29,30.0,37295.49890936206,42324.652429076705
30,31.0,37295.48547993302,42324.65542294188
31,32.0,37295.47217441704,42324.65833941337
32,33.0,37295.45847270508,42324.6614096952
33,34.0,37295.44479627266,42324.66482078446
34,35.0,37295.431573383714,42324.66790098552
35,36.0,37295.41784261428,42324.67092281255
36,37.0,37295.40420491942,42324.674181148264
37,38.0,37295.39079481472,42324.677245224215
38,39.0,37295.3769627672,42324.680336351244
39,40.0,37295.363510934854,42324.68334808963
40,41.0,37295.349814359695,42324.686311397156
41,42.0,37295.33618830897,42324.689731335915
42,43.0,37295.32265368579,42324.69263724282
43,44.0,37295.30885751776,42324.69585905152
44,45.0,37295.295426448196,42324.698946280165
45,46.0,37295.28127820782,42324.70216006657
46,47.0,37295.26799419813,42324.70521910232
47,48.0,37295.25403148024,42324.708374844726
48,49.0,37295.24043668099,42324.711669697215
49,50.0,37295.226538865114,42324.71496779678
50,51.0,37295.21299694346,42324.717887883366
51,52.0,37295.199014127575,42324.72123854758
52,53.0,37295.185339890086,42324.72431068623
53,54.0,37295.17140614848,42324.72744727873
54,55.0,37295.157696770824,42324.73046716644
55,56.0,37295.14398187363,42324.73384550302
56,57.0,37295.12992737608,42324.737221216674
57,58.0,37295.116079403204,42324.740057532086
58,59.0,37295.10221039353,42324.743051595324
59,60.0,37295.08834119889,42324.746573920966
60,61.0,37295.074556024076,42324.7495310225
61,62.0,37295.060698534675,42324.75259962162
62,63.0,37295.04647009405,42324.75617637137
63,64.0,37295.03275333041,42324.75937622926
64,65.0,37295.018733700424,42324.762429904724
65,66.0,37295.00470572904,42324.76552928097
66,67.0,37294.99079656426,42324.769079233316
67,68.0,37294.97696623579,42324.77201195937
68,69.0,37294.96262737069,42324.77516626294
69,70.0,37294.94890259739,42324.77834905132
70,71.0,37294.934763967496,42324.78147713296
71,72.0,37294.92082809836,42324.784809145924
72,73.0,37294.90654473836,42324.788037387254
73,74.0,37294.89252828272,42324.79130233546
74,75.0,37294.878504121116,42324.794727390974
75,76.0,37294.86417763534,42324.79771398052
76,77.0,37294.85017999579,42324.801092571164
77,78.0,37294.83608800464,42324.80411121804
78,79.0,37294.82193615553,42324.80735677975
79,80.0,37294.80786599793,42324.81068119313
80,81.0,37294.79353863179,42324.814016461714
81,82.0,37294.77933737215,42324.81729597051
82,83.0,37294.76519797545,42324.820522301925
83,84.0,37294.750920903716,42324.8239484179
84,85.0,37294.736860614634,42324.826990309004
85,86.0,37294.72232298027,42324.83011382128
86,87.0,37294.708327268265,42324.833437202455
87,88.0,37294.69400776197,42324.83716558315
88,89.0,37294.67964475205,42324.84018371412
89,90.0,37294.66539069699,42324.843363700835
90,91.0,37294.65098000435,42324.84682792626
91,92.0,37294.63679550602,42324.84993639755
92,93.0,37294.622388607655,42324.85333843646
93,94.0,37294.60789307256,42324.85662584183
94,95.0,37294.593796338,42324.85989202934
95,96.0,37294.5790702606,42324.86332356977
96,97.0,37294.56498979693,42324.866400244624
97,98.0,37294.55038395126,42324.86986119632
98,99.0,37294.53602572498,42324.873120600394
99,100.0,37294.52164591117,42324.87631977173
