,epoch,loss,val_loss,ivw,evw,ivw_ann
0,1.0,1255626.5,1122184.1,36511.223,36528.2,150.75247
1,2.0,117271.54,147617.36,30586.148,30600.059,342.01257
2,3.0,93870.79,93401.555,36606.27,36625.016,464.15994
3,4.0,44758.695,63765.64,28371.18,28383.145,495.61838
4,5.0,44916.395,45611.38,36511.223,36528.2,694.0894
5,6.0,23089.102,33758.293,28005.045,28016.805,690.983
6,7.0,32375.184,25924.742,41351.184,41377.633,929.4767
7,8.0,15824.71,20286.586,30586.148,30600.059,941.8729
8,9.0,21617.645,16289.482,44848.77,44876.047,1295.0707
9,10.0,13064.657,13336.51,36511.223,36528.2,1317.0332
10,11.0,6445.004,11251.502,24865.441,24874.504,1154.7183
11,12.0,7526.625,9690.306,30586.148,30600.059,1371.8866
12,13.0,7820.143,8449.319,34962.457,34978.85,1605.7883
13,14.0,5778.2817,7452.2734,30586.148,30600.059,1563.8306
14,15.0,2841.919,6614.539,21251.11,21257.594,1432.9858
15,16.0,4593.03,5926.4863,30586.148,30600.059,1750.5059
16,17.0,5750.4067,5336.1543,38430.42,38451.766,2068.251
17,18.0,3361.9678,4814.441,28994.273,29006.346,1911.4896
18,19.0,3002.1846,4365.4595,28371.18,28383.145,1960.6849
19,20.0,4846.992,3977.296,40587.418,40613.22,2356.3525
20,21.0,2799.497,3621.7979,30586.148,30600.059,2225.7273
21,22.0,3573.8127,3314.2932,38430.42,38451.766,2605.5405
22,23.0,1714.4233,3031.4255,24865.441,24874.504,2199.0103
23,24.0,3718.3103,2784.4653,45115.465,45142.75,3122.8486
24,25.0,1970.3463,2552.4546,30586.148,30600.059,2631.9263
25,26.0,2928.9756,2350.0076,41576.645,41602.76,3110.5212
26,27.0,907.4747,2158.5537,21251.11,21257.594,2460.794
27,28.0,1120.0488,1991.099,24865.441,24874.504,2683.389
28,29.0,1414.7474,1836.7767,30586.148,30600.059,3074.05
29,30.0,707.23315,1692.8911,21251.11,21257.594,2757.6719
30,31.0,1525.505,1564.6514,36511.223,36528.2,3739.9185
31,32.0,1587.6309,1446.145,39025.855,39047.53,3904.523
32,33.0,1301.303,1335.047,36511.223,36528.2,4025.085
33,34.0,1246.8619,1234.7759,37003.902,37023.086,4119.7485
34,35.0,1255.2318,1142.1241,39025.855,39047.53,4351.547
35,36.0,701.3405,1054.6785,28005.045,28016.805,3800.917
36,37.0,963.90906,976.70825,36339.58,36358.31,4524.8457
37,38.0,369.39725,902.40076,21251.11,21257.594,3680.3096
38,39.0,815.08136,836.308,36511.223,36528.2,4978.657
39,40.0,593.16833,773.81476,30586.148,30600.059,4564.9814
40,41.0,473.73535,716.15967,28005.045,28016.805,4522.201
41,42.0,507.40326,663.3611,30586.148,30600.059,4889.967
42,43.0,761.3058,614.7625,40587.418,40613.22,5598.7715
43,44.0,434.36523,568.58203,30586.148,30600.059,5231.651
44,45.0,580.687,526.6812,39025.855,39047.53,6147.8516
45,46.0,371.80963,486.97797,30586.148,30600.059,5596.7563
46,47.0,561.55255,451.3698,40587.418,40613.22,6406.5415
47,48.0,360.98444,417.33734,33534.547,33549.883,6365.307
48,49.0,485.41113,386.81567,40686.86,40712.855,6841.299
49,50.0,233.64362,357.37305,28005.045,28016.805,6113.2607
50,51.0,324.5479,331.01263,36240.137,36258.67,7259.666
51,52.0,338.9287,306.35687,39025.855,39047.53,7745.138
52,53.0,313.89273,283.46664,39025.855,39047.53,7997.721
53,54.0,331.4106,262.21387,40686.86,40712.855,8050.1284
54,55.0,129.98329,242.2117,24865.441,24874.504,6808.2197
55,56.0,218.23631,224.1954,36511.223,36528.2,8746.643
56,57.0,263.69714,207.52936,40686.86,40712.855,8851.791
57,58.0,144.84583,191.61974,30586.148,30600.059,8251.432
58,59.0,156.62306,177.1799,34198.69,34214.438,9185.754
59,60.0,148.39143,163.7384,35187.92,35203.98,9728.263
60,61.0,168.56828,151.50032,39025.855,39047.53,10286.744
61,62.0,137.28864,139.92644,36240.137,36258.67,10273.42
62,63.0,67.694855,129.16571,24865.441,24874.504,8730.173
63,64.0,89.540855,119.39761,30586.148,30600.059,9919.844
64,65.0,107.17309,110.21296,36511.223,36528.2,11543.18
65,66.0,142.01314,101.9487,45115.465,45142.75,13016.945
66,67.0,70.194244,93.98062,30586.148,30600.059,10845.696
67,68.0,54.555714,86.69364,28005.045,28016.805,10688.925
68,69.0,41.07515,80.03697,24865.441,24874.504,10426.671
69,70.0,82.91983,73.9393,39025.855,39047.53,13443.892
70,71.0,76.56827,68.20779,39025.855,39047.53,13834.258
71,72.0,39.670753,62.797806,28104.486,28116.44,11990.229
72,73.0,64.19866,57.999466,38430.42,38451.766,14451.463
73,74.0,60.22377,53.47184,39025.855,39047.53,15050.806
74,75.0,24.67591,49.22841,24865.441,24874.504,12351.039
75,76.0,33.480347,45.396675,30586.148,30600.059,13994.568
76,77.0,20.820795,41.84636,24865.441,24874.504,13037.004
77,78.0,19.09723,38.55241,24865.441,24874.504,13391.415
78,79.0,17.55237,35.555325,24865.441,24874.504,13745.11
79,80.0,31.880686,32.78801,36511.223,36528.2,17562.994
80,81.0,29.723747,30.222765,36240.137,36258.67,17563.875
81,82.0,20.356209,27.839186,30586.148,30600.059,16371.3545
82,83.0,22.82589,25.648111,35187.92,35203.98,18593.977
83,84.0,17.206783,23.602484,30586.148,30600.059,17204.418
84,85.0,21.424292,21.760061,36240.137,36258.67,19390.914
85,86.0,22.867168,20.03637,39025.855,39047.53,20505.664
86,87.0,13.408057,18.451088,30586.148,30600.059,18478.18
87,88.0,10.296771,17.000692,28104.486,28116.44,18092.943
88,89.0,17.976099,15.702294,39025.855,39047.53,21973.805
89,90.0,4.4292355,14.456667,21251.11,21257.594,17086.262
90,91.0,6.4793077,13.360594,24865.441,24874.504,18326.65
91,92.0,10.744298,12.373276,34198.69,34214.438,22274.166
92,93.0,5.5756865,11.41943,24865.441,24874.504,19120.402
93,94.0,6.233266,10.584997,28005.045,28016.805,20596.504
94,95.0,11.11735,9.829684,38430.42,38451.766,24625.58
95,96.0,6.6300693,9.117396,30586.148,30600.059,22385.695
96,97.0,7.377244,8.48388,34198.69,34214.438,24611.895
97,98.0,7.951963,7.9014034,36606.27,36625.016,25740.414
98,99.0,7.5746484,7.373663,37003.902,37023.086,26373.832
99,100.0,6.2914114,6.890166,34962.457,34978.85,26321.05
100,101.0,7.2879376,6.4520864,38430.42,38451.766,27469.822
101,102.0,8.5965605,6.0604086,41576.645,41602.76,28267.18
102,103.0,5.4751725,5.695108,35575.99,35594.117,27459.922
103,104.0,6.1443124,5.3702655,39025.855,39047.53,29176.07
104,105.0,3.2144194,5.0667143,28104.486,28116.44,24940.79
105,106.0,4.7361274,4.8092313,36511.223,36528.2,29845.79
106,107.0,4.2149863,4.57035,34962.457,34978.85,29282.334
107,108.0,3.3081858,4.3528743,30586.148,30600.059,27130.531
108,109.0,3.1775503,4.1582117,30586.148,30600.059,27471.762
109,110.0,5.498888,3.99449,40587.418,40613.22,30754.541
110,111.0,3.46954,3.8341455,34298.133,34314.074,30309.701
111,112.0,2.939415,3.6939213,30586.148,30600.059,28380.502
112,113.0,4.8611617,3.5805326,40587.418,40613.22,31715.764
113,114.0,2.7909384,3.459828,30586.148,30600.059,28923.68
114,115.0,1.9539748,3.3578534,21251.11,21257.594,25201.502
115,116.0,1.95579,3.2720532,21251.11,21257.594,25403.242
116,117.0,2.6302557,3.200532,30586.148,30600.059,29601.803
117,118.0,3.4077382,3.1350355,38430.42,38451.766,33418.062
118,119.0,3.387292,3.069943,39025.855,39047.53,34087.348
119,120.0,2.2110982,3.0062351,24865.441,24874.504,27389.87
120,121.0,1.9703255,2.9581003,21251.11,21257.594,26226.23
121,122.0,2.8637104,2.923619,37229.363,37248.215,34427.742
122,123.0,1.9766513,2.875895,21251.11,21257.594,26475.635
123,124.0,2.341993,2.8520863,30586.148,30600.059,30728.135
124,125.0,2.4041498,2.8192856,30586.148,30600.059,30851.54
125,126.0,3.046468,2.797282,39025.855,39047.53,35153.574
126,127.0,1.9894605,2.764874,21251.11,21257.594,26837.287
127,128.0,2.7251868,2.7537367,36606.27,36625.016,34461.39
128,129.0,2.268612,2.7329872,30586.148,30600.059,31190.996
129,130.0,3.4541407,2.7219725,40587.418,40613.22,34570.207
130,131.0,2.33515,2.6981943,30586.148,30600.059,31343.76
131,132.0,2.2408776,2.6888103,30586.148,30600.059,31390.398
132,133.0,3.3948426,2.6836543,41576.645,41602.76,35674.777
133,134.0,2.6796277,2.671668,37003.902,37023.086,35069.82
134,135.0,3.3587089,2.6669862,40587.418,40613.22,34841.168
135,136.0,2.0053315,2.647856,21251.11,21257.594,27255.379
136,137.0,3.4072328,2.6539447,45513.098,45540.824,39206.902
137,138.0,2.148452,2.6365156,24865.441,24874.504,28657.928
138,139.0,2.4190164,2.6377523,34198.69,34214.438,34114.688
139,140.0,2.8398323,2.6356125,39025.855,39047.53,35900.527
140,141.0,2.618962,2.6314268,36511.223,36528.2,35727.707
141,142.0,2.012402,2.619359,21251.11,21257.594,27371.574
142,143.0,3.2402651,2.6296525,44085.184,44111.855,38449.613
143,144.0,2.6077015,2.62193,36511.223,36528.2,35769.223
144,145.0,2.2891934,2.6140394,30586.148,30600.059,31708.406
145,146.0,2.1980283,2.6160603,30586.148,30600.059,31696.83
146,147.0,2.4062269,2.613517,35187.92,35203.98,35147.652
147,148.0,2.0087004,2.6105015,28994.273,29006.346,31287.584
148,149.0,2.8148098,2.617034,39025.855,39047.53,36015.117
149,150.0,2.755521,2.6161883,38430.42,38451.766,35548.008
150,151.0,2.4957447,2.612379,35575.99,35594.117,34463.945
151,152.0,2.285577,2.607339,30586.148,30600.059,31739.227
152,153.0,2.0064764,2.6068733,28994.273,29006.346,31300.812
153,154.0,2.1905494,2.6082296,30586.148,30600.059,31739.82
154,155.0,2.1434207,2.6046884,24865.441,24874.504,28778.996
155,156.0,3.2226276,2.6134014,39923.27,39948.664,34660.66
156,157.0,2.2840703,2.605244,30586.148,30600.059,31732.742
157,158.0,3.249838,2.6102133,45738.56,45765.953,39923.086
158,159.0,2.1886396,2.6030295,30586.148,30600.059,31772.68
159,160.0,2.603256,2.6056316,37003.902,37023.086,35393.89
160,161.0,2.4316633,2.6030629,34564.83,34580.777,34506.13
161,162.0,2.468267,2.604416,34962.457,34978.85,34720.266
162,163.0,2.466862,2.6029315,34962.457,34978.85,34724.363
163,164.0,2.0159283,2.594783,21251.11,21257.594,27470.959
164,165.0,2.0294433,2.6014745,28104.486,28116.44,30399.424
165,166.0,2.1890106,2.6031542,30586.148,30600.059,31753.633
166,167.0,2.1896868,2.6025038,30586.148,30600.059,31773.854
167,168.0,3.2496955,2.6075265,40587.418,40613.22,35135.86
168,169.0,2.565978,2.6056786,36606.27,36625.016,35168.89
169,170.0,2.1884432,2.6014593,30586.148,30600.059,31783.184
170,171.0,2.2819018,2.6004138,30586.148,30600.059,31764.379
171,172.0,2.5902224,2.6048434,36511.223,36528.2,35864.855
172,173.0,2.015571,2.5958376,21251.11,21257.594,27462.752
173,174.0,2.5232863,2.6037195,36240.137,36258.67,34954.465
174,175.0,2.5880778,2.6044734,36511.223,36528.2,35851.367
175,176.0,3.2477534,2.6064572,40587.418,40613.22,35140.324
176,177.0,2.7971044,2.6036081,39025.855,39047.53,36082.89
177,178.0,2.0139976,2.5955997,21251.11,21257.594,27463.328
178,179.0,2.2821481,2.6008599,30586.148,30600.059,31778.041
179,180.0,2.5657535,2.6051376,36606.27,36625.016,35171.844
180,181.0,3.2394075,2.6087077,44749.33,44776.41,39010.63
181,182.0,3.2422004,2.6084635,44749.33,44776.41,39012.57
182,183.0,3.3275187,2.6066763,41351.184,41377.633,35589.047
183,184.0,2.7365246,2.6033611,38430.42,38451.766,35628.004
184,185.0,2.2818465,2.5993047,30586.148,30600.059,31777.0
185,186.0,2.280564,2.599358,30586.148,30600.059,31763.955
186,187.0,2.588917,2.6028771,36511.223,36528.2,35891.316
187,188.0,3.2542655,2.606161,41576.645,41602.76,36066.867
188,189.0,2.7377636,2.6028051,38430.42,38451.766,35637.79
189,190.0,2.7958035,2.6018152,39025.855,39047.53,36077.63
190,191.0,1.9971831,2.5960248,28005.045,28016.805,30437.021
191,192.0,2.5991776,2.6007774,37003.902,37023.086,35421.72
192,193.0,2.420844,2.5987773,34298.133,34314.074,34297.598
193,194.0,2.7329547,2.599742,38430.42,38451.766,35661.848
194,195.0,1.9627885,2.596713,27340.898,27352.248,29975.611
195,196.0,2.2797132,2.5964782,30586.148,30600.059,31800.777
196,197.0,2.5867937,2.6029458,36511.223,36528.2,35881.258
197,198.0,2.1447604,2.5962903,24865.441,24874.504,28827.018
198,199.0,2.7384043,2.6034825,38430.42,38451.766,35633.668
199,200.0,2.794753,2.6024582,39025.855,39047.53,36084.883
200,201.0,2.1871467,2.5999794,30586.148,30600.059,31770.26
201,202.0,2.5864835,2.6018229,36511.223,36528.2,35896.8
