,epoch,loss,val_loss,ivw,evw,ivw_ann,ds_de
0,1.0,5107126.0,8160510.0,24871.617,24874.504,27.760216,0.0
1,2.0,860363.2,1182838.9,28013.062,28016.805,104.08383,0.0
2,3.0,248589.14,259175.83,35198.867,35203.984,269.17154,0.0
3,4.0,58911.215,132620.95,21255.531,21257.594,284.27454,0.0
4,5.0,57445.836,99225.63,24871.617,24874.504,342.81155,0.0
5,6.0,35521.297,80752.266,21255.531,21257.594,364.88116,0.0
6,7.0,52415.824,67223.18,30595.635,30600.059,469.20618,0.0
7,8.0,61854.02,56459.734,39040.633,39047.53,589.53503,0.0
8,9.0,46441.44,47424.324,36522.797,36528.2,647.12445,0.0
9,10.0,23228.121,40336.836,24871.617,24874.504,570.5393,0.0
10,11.0,46037.76,35036.957,44767.793,44776.41,836.5268,0.0
11,12.0,33591.176,30710.04,39040.633,39047.53,832.40894,0.0
12,13.0,29273.486,27202.16,38444.977,38451.77,878.49927,0.0
13,14.0,26566.848,24297.863,39040.633,39047.53,946.73926,0.0
14,15.0,27087.492,21835.898,41369.215,41377.633,990.5774,0.0
15,16.0,13619.962,19679.848,28379.336,28383.145,900.3925,0.0
16,17.0,13864.466,17862.557,30595.635,30600.059,983.8037,0.0
17,18.0,7047.281,16238.462,21255.531,21257.594,893.72345,0.0
18,19.0,6427.4634,14829.335,21255.531,21257.594,938.0536,0.0
19,20.0,10540.212,13589.273,30595.635,30600.059,1137.0073,0.0
20,21.0,8623.418,12467.485,28379.336,28383.145,1146.3926,0.0
21,22.0,8881.837,11461.617,30595.635,30600.059,1243.3346,0.0
22,23.0,13884.16,10567.323,44767.793,44776.41,1594.4904,0.0
23,24.0,9492.749,9730.607,36522.797,36528.2,1527.98,0.0
24,25.0,6070.2544,8982.097,28013.062,28016.805,1349.4355,0.0
25,26.0,6435.924,8306.116,30595.635,30600.059,1467.3037,0.0
26,27.0,9343.93,7695.8984,40605.008,40613.22,1690.2908,0.0
27,28.0,9424.92,7130.11,44867.367,44876.047,1950.6699,0.0
28,29.0,7225.7417,6607.007,39040.633,39047.53,1873.6198,0.0
29,30.0,7450.3696,6131.076,40605.008,40613.22,1896.4889,0.0
30,31.0,3232.5212,5684.93,24871.617,24874.504,1612.7772,0.0
31,32.0,5328.9443,5285.539,37016.98,37023.086,2055.9246,0.0
32,33.0,2788.9685,4910.908,24871.617,24874.504,1734.7928,0.0
33,34.0,4147.387,4568.584,34575.7,34580.78,2153.3713,0.0
34,35.0,4222.701,4252.4253,36619.047,36625.016,2275.8928,0.0
35,36.0,1683.0061,3954.3894,21255.531,21257.594,1839.0725,0.0
36,37.0,3291.625,3685.4102,34209.42,34214.44,2378.7654,0.0
37,38.0,4110.591,3436.1045,39940.582,39948.664,2494.8564,0.0
38,39.0,1809.2847,3199.2307,24871.617,24874.504,2142.3127,0.0
39,40.0,2044.2318,2981.7537,28379.336,28383.145,2356.7039,0.0
40,41.0,1174.3187,2779.5247,21255.531,21257.594,2184.4114,0.0
41,42.0,2846.0417,2597.4392,39040.633,39047.53,2969.5356,0.0
42,43.0,1866.6085,2420.763,30595.635,30600.059,2703.3784,0.0
43,44.0,2478.163,2261.5251,39040.633,39047.53,3174.4133,0.0
44,45.0,2018.9839,2110.6848,35588.348,35594.117,3135.4565,0.0
45,46.0,1273.7245,1970.0369,27348.637,27352.248,2811.506,0.0
46,47.0,1417.7517,1840.812,30595.635,30600.059,3079.641,0.0
47,48.0,1855.9788,1720.6034,38444.977,38451.77,3568.3215,0.0
48,49.0,1236.7394,1607.0542,30595.635,30600.059,3283.2312,0.0
49,50.0,624.6768,1501.6456,21255.531,21257.594,2926.8196,0.0
50,51.0,1261.7241,1405.0356,34309.0,34314.08,3772.1384,0.0
51,52.0,1257.2286,1314.5303,35588.348,35594.117,3917.2834,0.0
52,53.0,1221.7035,1229.8486,36619.047,36625.016,4119.5156,0.0
53,54.0,883.00226,1150.079,30595.635,30600.059,3836.0352,0.0
54,55.0,1458.6499,1077.9468,45757.234,45765.953,4972.1973,0.0
55,56.0,560.51495,1007.5755,24871.617,24874.504,3695.6533,0.0
56,57.0,723.4308,943.37177,30595.635,30600.059,4198.9434,0.0
57,58.0,585.5066,883.3342,28013.062,28016.805,4140.132,0.0
58,59.0,895.88354,828.104,38444.977,38451.77,4997.482,0.0
59,60.0,839.5203,775.71375,38444.977,38451.77,5146.0293,0.0
60,61.0,694.7296,726.4927,35588.348,35594.117,5131.1973,0.0
61,62.0,589.44995,680.7055,33545.0,33549.887,5176.9634,0.0
62,63.0,862.8402,638.91235,45134.066,45142.75,6185.2896,0.0
63,64.0,659.1697,598.5392,39040.633,39047.53,5849.7734,0.0
64,65.0,308.2677,560.91565,24871.617,24874.504,4801.7026,0.0
65,66.0,511.91922,526.1546,36522.797,36528.2,6149.6543,0.0
66,67.0,544.52826,493.89056,39040.633,39047.53,6361.3774,0.0
67,68.0,183.7296,462.753,21255.531,21257.594,4971.6978,0.0
68,69.0,583.71326,435.2294,44767.793,44776.41,7269.6353,0.0
69,70.0,409.74683,408.31042,37242.215,37248.215,6857.831,0.0
70,71.0,378.647,383.41394,36352.348,36358.31,6865.3164,0.0
71,72.0,140.8839,359.67252,21255.531,21257.594,5536.011,0.0
72,73.0,256.95602,338.26016,30595.635,30600.059,6579.123,0.0
73,74.0,318.77325,317.9613,37242.215,37248.215,7624.4746,0.0
74,75.0,410.18585,299.12534,45757.234,45765.953,8715.73,0.0
75,76.0,175.95036,280.83698,27348.637,27352.248,6698.6035,0.0
76,77.0,357.12045,264.43207,44767.793,44776.41,8960.886,0.0
77,78.0,336.3132,248.69594,44767.793,44776.41,9187.45,0.0
78,79.0,318.45898,233.93791,44867.367,44876.047,9419.298,0.0
79,80.0,117.56339,219.88756,24871.617,24874.504,7121.0405,0.0
80,81.0,189.60596,207.07727,34973.633,34978.855,8795.371,0.0
81,82.0,125.59009,194.91423,28013.062,28016.805,7884.662,0.0
82,83.0,200.64484,183.76036,38444.977,38451.77,9465.001,0.0
83,84.0,113.77982,172.96361,28379.336,28383.145,8328.451,0.0
84,85.0,145.15665,163.03143,34309.0,34314.08,9540.259,0.0
85,86.0,150.66298,153.73726,36252.77,36258.67,9955.288,0.0
86,87.0,97.269356,144.85162,28777.27,28781.217,8990.551,0.0
87,88.0,49.972702,136.57756,21255.531,21257.594,8175.546,0.0
88,89.0,123.40077,129.05528,35588.348,35594.117,10507.809,0.0
89,90.0,152.80075,121.86056,39940.582,39948.664,10808.691,0.0
90,91.0,157.80376,115.06189,44767.793,44776.41,12424.49,0.0
91,92.0,119.14022,108.61413,38444.977,38451.77,11582.6045,0.0
92,93.0,141.13489,102.65898,44767.793,44776.41,12964.262,0.0
93,94.0,34.359715,96.82452,21255.531,21257.594,9299.509,0.0
94,95.0,68.357086,91.61118,30595.635,30600.059,10989.6875,0.0
95,96.0,55.17168,86.575386,28112.635,28116.44,10733.656,0.0
96,97.0,90.15823,81.94473,38444.977,38451.77,12839.254,0.0
97,98.0,69.6442,77.48584,35198.867,35203.984,12931.971,0.0
98,99.0,62.514378,73.344185,33545.0,33549.887,12671.597,0.0
99,100.0,76.5948,69.4762,38444.977,38451.77,13613.542,0.0
100,101.0,48.746803,65.75654,30595.635,30600.059,12368.732,0.0
101,102.0,46.1466,62.28218,30595.635,30600.059,12601.841,0.0
102,103.0,52.641953,58.995483,34575.7,34580.78,13945.005,0.0
103,104.0,56.835754,55.90479,37016.98,37023.086,14575.561,0.0
104,105.0,17.669645,52.920166,21255.531,21257.594,11499.73,0.0
105,106.0,25.173952,50.20025,24871.617,24874.504,12286.875,0.0
106,107.0,52.79188,47.65417,38444.977,38451.77,15473.603,0.0
